N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
99,오리온,"87,000",100,+0.12%,500,"34,396","39,536",36.12,"73,918",13.35,12.75
100,현대미포조선,"85,500","2,100",+2.52%,"5,000","34,151","39,942",11.22,"812,239",-21.39,-7.11
101,호텔신라,"83,400",700,+0.85%,"5,000","32,733","39,248",13.57,"372,103",123.19,4.51
102,DB하이텍,"72,500",800,+1.12%,"5,000","32,189","44,399",23.05,"598,026",10.18,33.35
103,현대차2우B,"88,200",800,+0.92%,"5,000","32,180","36,485",61.09,"81,379",4.94,N/A
104,한미사이언스,"45,900","1,300",+2.91%,500,"31,498","68,624",2.08,"127,181",73.32,6.37
105,BGF리테일,"180,500",500,+0.28%,"1,000","31,197","17,284",30.62,"40,838",21.13,19.61
106,TIGER 차이나전기차SOLACTIVE,"13,345",85,-0.63%,0,"31,126","233,240",0.19,"4,713,266",N/A,N/A
107,한화시스템,"16,250",250,+1.56%,"5,000","30,699","188,919",3.05,"520,413",25.79,6.04
108,GS리테일,"28,950",0,0.00%,"1,000","30,316","104,718",7.30,"108,589",3.23,25.58
109,한전기술,"78,400",100,-0.13%,200,"29,964","38,220",1.27,"181,657",182.33,3.25
110,CJ대한통운,"129,000","1,500",+1.18%,"5,000","29,428","22,812",19.64,"67,183",53.75,1.59
111,현대해상,"32,700",550,+1.71%,500,"29,234","89,400",27.52,"437,482",6.76,8.82
112,포스코인터내셔널,"23,150","1,200",+5.47%,"5,000","28,561","123,375",6.60,"2,112,239",7.92,10.86
113,제일기획,"24,800",250,-1.00%,200,"28,530","115,041",31.64,"242,207",17.25,15.58
114,KCC,"321,000","2,500",+0.78%,"5,000","28,526","8,886",10.32,"34,640",-62.31,-0.92
115,대우조선해양,"26,300",200,-0.75%,"5,000","28,217","107,291",4.61,"883,105",-1.66,-55.86
116,한화생명,"3,140",25,+0.80%,"5,000","27,272","868,530",7.89,"1,430,664",2.29,10.79
117,대우건설,"6,560",70,-1.06%,"5,000","27,265","415,623",11.01,"1,309,870",5.63,16.47
